CIK, NAME, DDATE, MEASURE, QOQ_GROWTH, YOY_GROWTH, 3Y_GROWTH, 5Y_GROWTH,
40545, GENERAL ELECTRIC CO, 2010-03-31, Assets,-0.59, , , , 
40545, GENERAL ELECTRIC CO, 2010-06-30, Assets,-3.53, , , , 
40545, GENERAL ELECTRIC CO, 2010-09-30, Assets,1.19, , , , 
40545, GENERAL ELECTRIC CO, 2010-12-31, Assets,-1.36,-4.28, , , 
40545, GENERAL ELECTRIC CO, 2011-03-31, Assets,-2.76,-6.37, , , 
40545, GENERAL ELECTRIC CO, 2011-06-30, Assets,1.55,-1.44, , , 
40545, GENERAL ELECTRIC CO, 2011-09-30, Assets,-0.19,-2.78, , , 
40545, GENERAL ELECTRIC CO, 2011-12-31, Assets,-2.67,-4.07,-10, , 
40545, GENERAL ELECTRIC CO, 2012-03-31, Assets,-1.43,-2.76, , , 
40545, GENERAL ELECTRIC CO, 2012-06-30, Assets,-1.92,-6.09, , , 
40545, GENERAL ELECTRIC CO, 2012-09-30, Assets,0.69,-5.26, , , 
40545, GENERAL ELECTRIC CO, 2012-12-31, Assets,-1.99,-4.6,-12.4, , 
40545, GENERAL ELECTRIC CO, 2013-03-31, Assets,-2.09,-5.23,-13.72, , 
40545, GENERAL ELECTRIC CO, 2013-06-30, Assets,-1.51,-4.84,-11.92, , 
40545, GENERAL ELECTRIC CO, 2013-09-30, Assets,0.14,-5.36,-12.83, , 
40545, GENERAL ELECTRIC CO, 2013-12-31, Assets,0.27,-3.18,-11.39,-16.86, 
40545, GENERAL ELECTRIC CO, 2014-03-31, Assets,-1.66,-2.75,-10.38, , 
40545, GENERAL ELECTRIC CO, 2014-06-30, Assets,-0.06,-1.31,-11.81, , 
40545, GENERAL ELECTRIC CO, 2014-09-30, Assets,-0.28,-1.73,-11.89, , 
40545, GENERAL ELECTRIC CO, 2014-12-31, Assets,0.6,-1.4,-8.92,-16.37, 
40545, GENERAL ELECTRIC CO, 2015-03-31, Assets,-5.55,-5.31,-12.73,-20.55, 
40545, GENERAL ELECTRIC CO, 2015-06-30, Assets,-1.09,-6.28,-11.99,-18.54, 
40545, GENERAL ELECTRIC CO, 2015-09-30, Assets,-4.85,-10.57,-16.82,-23.39, 
40545, GENERAL ELECTRIC CO, 2015-12-31, Assets,-15.18,-24.6,-28.02,-34.12, 
40545, GENERAL ELECTRIC CO, 2016-03-31, Assets,-6.26,-25.17,-31.09,-36.5, 
40545, GENERAL ELECTRIC CO, 2016-06-30, Assets,-13.14,-34.29,-39.22,-45.68, 
40545, GENERAL ELECTRIC CO, 2016-09-30, Assets,-3.43,-33.31,-41.39,-47.45, 
40545, GENERAL ELECTRIC CO, 2016-12-31, Assets,-7.37,-27.17,-45.85,-49.98, 
40545, GENERAL ELECTRIC CO, 2017-03-31, Assets,-2.08,-23.92,-46.09,-50.31, 
40545, GENERAL ELECTRIC CO, 2017-06-30, Assets,1.09,-11.46,-45.47,-48.79, 
40545, GENERAL ELECTRIC CO, 2017-09-30, Assets,6.35,-2.49,-41.84,-45.91, 
40545, GENERAL ELECTRIC CO, 2017-12-31, Assets,-2.33,2.82,-43.53,-46.1, 
40545, GENERAL ELECTRIC CO, 2018-03-31, Assets,-3.02,1.84,-42.02,-46.61, 
40545, GENERAL ELECTRIC CO, 2018-06-30, Assets,-4.28,-3.57,-43.89,-48.11, 
40545, GENERAL ELECTRIC CO, 2018-09-30, Assets,-9.07,-17.55,-46.38,-52.88, 
40545, GENERAL ELECTRIC CO, 2018-12-31, Assets,-0.68,-16.16,-37.21,-53.32, 
40545, GENERAL ELECTRIC CO, 2019-03-31, Assets,1.78,-12.02,-31.83,-51.69, 